winner,control_sw_remaining,control_vp_remaining,test_sw_remaining,test_vp_remaining,duration_rounds,duration_phases,control_actions_taken,control_attacks_taken,control_parries_taken,control_attacks_succeeded,control_parries_succeeded,control_ap_remaining,control_ap_spent,control_ap_spent_wound_checks,control_damage_rolls_count,control_damage_rolls_sum,control_damage_rolls_sumsquares,control_keep_lw_total_count,control_keep_lw_total_sum,control_keep_lw_total_sumsquares,control_sw,control_take_sw_total_count,control_take_sw_total_sum,control_take_sw_total_sumsquares,control_vp_spent,control_vp_spent_attacks,control_vp_spent_wound_checks,control_wc_failed,control_wc_failed_lw_total_count,control_wc_failed_lw_total_sum,control_wc_failed_lw_total_sumsquares,control_wc_failed_margin_count,control_wc_failed_margin_sum,control_wc_failed_margin_sumsquares,control_wc_succeeded,control_wc_succeeded_margin_count,control_wc_succeeded_margin_sum,control_wc_succeeded_margin_sumsquares,control_keep_lw_total_count,test_actions_taken,test_attacks_taken,test_parries_taken,test_attacks_succeeded,test_parries_succeeded,test_ap_remaining,test_ap_spent,test_ap_spent_wound_checks,test_damage_rolls_count,test_damage_rolls_sum,test_damage_rolls_sumsquares,test_keep_lw_total_count,test_keep_lw_total_sum,test_keep_lw_total_sumsquares,test_sw,test_take_sw_total_count,test_take_sw_total_sum,test_take_sw_total_sumsquares,test_vp_spent,test_vp_spent_attacks,test_vp_spent_wound_checks,test_wc_failed,test_wc_failed_lw_total_count,test_wc_failed_lw_total_sum,test_wc_failed_lw_total_sumsquares,test_wc_failed_margin_count,test_wc_failed_margin_sum,test_wc_failed_margin_sumsquares,test_wc_succeeded,test_wc_succeeded_margin_count,test_wc_succeeded_margin_sum,test_wc_succeeded_margin_sumsquares
-1,1,0,0,0,4,36,17,16,1,16,0,0,0,0,16,701,34653,2,51,1361,8,4,121,3919,3,3,0,0,0,0,0,0,0,0,6,6,150,4332,2,12,12,0,6,0,0,0,0,6,172,5280,5,150,4580,10,2,63,2009,2,2,0,9,9,488,28064,9,154,4690,7,7,66,994
-1,2,0,-1,0,4,36,16,16,0,16,0,0,0,0,16,663,32509,3,58,1186,9,3,106,3754,3,3,0,0,0,0,0,0,0,0,6,6,133,3427,3,13,12,1,6,0,0,0,0,6,164,4940,6,158,4194,9,2,91,4253,2,1,1,8,8,414,24062,8,132,5508,8,8,80,982
1,0,0,4,0,4,41,20,19,1,19,0,0,0,0,19,814,36952,4,98,2940,4,3,99,3821,3,3,0,0,0,0,0,0,0,0,7,7,118,2638,4,14,14,0,8,0,0,0,0,7,197,6761,5,165,5845,11,2,66,2378,2,2,0,12,12,583,28729,12,153,2497,7,7,67,1129
1,0,1,4,0,3,27,13,12,1,12,0,0,0,0,12,500,24680,1,36,1296,4,2,50,1258,2,2,0,2,2,119,7225,2,22,292,3,3,25,237,1,11,11,0,6,0,0,0,0,5,205,9779,4,107,2931,11,1,33,1089,2,2,0,7,7,360,20660,7,135,4499,5,5,62,992
1,0,1,8,0,1,11,5,4,1,4,0,0,0,0,4,184,9242,1,18,324,0,0,0,0,2,2,0,1,1,108,11664,1,70,4900,1,1,10,100,1,4,4,0,3,0,0,0,0,2,126,11988,2,68,2314,11,0,0,0,2,1,1,2,2,116,6928,2,14,130,2,2,11,85
1,0,0,5,0,3,28,14,12,2,12,0,0,0,0,12,565,30805,4,81,1695,3,3,108,4074,3,3,0,0,0,0,0,0,0,0,7,7,137,4473,4,11,11,0,8,0,0,0,0,7,189,5769,4,119,3587,11,1,28,784,2,2,0,7,7,418,26434,7,142,4484,5,5,72,1854
1,0,0,4,0,3,29,15,14,1,14,0,0,0,0,14,601,28643,2,70,2788,4,4,152,8218,3,3,0,0,0,0,0,0,0,0,6,6,131,4107,2,9,9,0,7,0,0,0,0,6,222,11006,5,137,3861,11,1,28,784,2,2,0,8,8,436,23998,8,146,3992,6,6,41,471
-1,5,0,-1,0,3,28,12,12,0,12,0,0,0,0,12,502,22816,0,0,0,9,1,36,1296,3,2,1,2,2,94,4660,2,10,50,1,1,8,64,0,9,9,0,3,0,0,0,0,3,130,5956,4,119,3627,6,0,0,0,2,2,0,8,8,383,19189,8,143,3485,4,4,25,257
1,0,1,4,0,3,33,15,14,1,14,0,0,0,0,14,661,35653,2,38,740,4,4,163,7099,2,1,1,0,0,0,0,0,0,0,6,6,173,5275,2,12,12,0,7,0,0,0,0,6,201,7839,4,102,2626,11,1,58,3364,2,2,0,9,9,501,29663,9,199,5997,5,5,53,751
1,0,0,7,0,1,11,5,4,1,4,0,0,0,0,4,156,6738,0,0,0,1,1,29,841,3,3,0,2,2,146,11716,2,50,1828,1,1,19,361,0,4,4,0,4,0,0,0,0,3,175,12557,1,25,625,11,0,0,0,2,2,0,3,3,131,6113,3,39,893,1,1,11,121
1,0,0,2,0,4,36,16,15,1,15,0,0,0,0,15,686,36478,2,50,1252,6,4,122,4452,3,3,0,0,0,0,0,0,0,0,6,6,136,3498,2,13,13,0,7,0,0,0,0,6,172,5704,5,135,3815,11,1,38,1444,2,2,0,9,9,513,31219,9,211,7293,6,6,89,2587
1,0,1,5,0,2,19,9,9,0,9,0,0,0,0,9,334,14502,0,0,0,3,1,38,1444,2,2,0,2,2,149,11213,2,64,2146,1,1,5,25,0,6,6,0,3,0,0,0,0,3,187,12657,3,79,2147,11,1,30,900,2,2,0,5,5,225,11455,5,69,1415,4,4,59,1305
1,0,0,2,0,2,22,10,8,2,8,0,0,0,0,8,330,17050,4,102,2646,6,2,55,1625,3,2,1,1,1,51,2601,1,4,16,6,6,156,4294,4,8,8,0,8,0,0,0,0,7,208,6872,4,111,3193,11,1,30,900,2,2,0,3,3,189,12957,3,86,3238,5,5,70,1738
1,0,1,5,0,2,18,10,9,1,9,0,0,0,0,9,319,12437,0,0,0,3,2,90,4772,2,1,1,2,2,120,7712,2,29,565,2,2,36,656,0,7,7,0,5,0,0,0,0,4,210,12484,5,155,5035,11,3,109,4377,2,2,0,1,1,55,3025,1,20,400,8,8,80,934
1,0,1,2,0,2,22,10,9,1,9,0,0,0,0,9,353,14549,1,26,676,6,3,123,5369,2,1,1,1,1,62,3844,1,10,100,4,4,65,1489,1,8,8,0,6,0,0,0,0,5,211,9889,4,131,4373,11,1,33,1089,2,2,0,4,4,189,9087,4,80,2040,5,5,53,633
-1,5,0,-1,0,3,27,14,13,1,13,0,0,0,0,13,417,14201,2,45,1053,9,2,77,3889,3,3,0,0,0,0,0,0,0,0,4,4,77,1619,2,9,9,0,4,0,0,0,0,4,122,4942,7,195,5585,6,1,45,2025,2,1,1,5,5,177,6591,5,64,1386,8,8,128,3104
1,0,0,8,0,2,22,9,7,2,7,0,0,0,0,7,300,14320,2,34,596,0,4,168,7516,3,2,1,0,0,0,0,0,0,0,6,6,104,2174,2,8,8,0,7,0,0,0,0,6,202,8112,2,51,1313,11,0,0,0,2,2,0,5,5,249,13007,5,80,1486,2,2,18,212
-1,1,0,-1,0,4,41,19,18,1,18,0,0,0,0,18,713,34339,3,54,1004,9,2,56,1856,3,3,0,1,1,49,2401,1,10,100,5,5,136,4304,3,13,13,0,6,0,0,0,0,6,159,5261,6,158,4344,10,1,40,1600,2,2,0,11,11,515,28395,11,214,7800,7,7,83,1359
1,0,0,2,0,3,30,14,13,1,13,0,0,0,0,13,570,28850,2,42,914,6,4,136,4964,3,3,0,0,0,0,0,0,0,0,6,6,126,3576,2,10,10,0,7,0,0,0,0,6,178,5878,4,146,5458,11,2,51,1313,2,2,0,7,7,373,22079,7,114,4356,6,6,106,2092
-1,2,0,0,0,3,33,15,15,0,15,0,0,0,0,15,598,27274,2,37,689,8,2,60,2000,3,3,0,1,1,48,2304,1,13,169,4,4,124,4900,2,12,12,0,5,0,0,0,0,5,145,4993,7,225,7845,9,1,23,529,2,2,0,7,7,350,18900,7,95,2007,8,8,97,1673
1,0,0,8,0,2,13,6,5,1,5,0,0,0,0,5,257,13961,0,0,0,0,1,24,576,3,3,0,2,2,170,14522,2,55,2057,1,1,59,3481,0,5,5,0,3,0,0,0,0,3,194,15098,1,38,1444,11,0,0,0,2,2,0,4,4,219,12517,4,71,1535,1,1,5,25
1,0,0,2,0,2,19,10,9,1,9,0,0,0,0,9,391,18943,3,51,869,6,2,80,3232,2,1,1,1,1,70,4900,1,17,289,5,5,129,4049,3,7,7,0,7,0,0,0,0,6,201,9001,4,122,3846,11,2,83,3469,2,2,0,3,3,186,11628,3,105,3779,6,6,45,561
1,0,0,4,0,3,28,13,11,2,11,0,0,0,0,11,530,26920,4,70,1226,4,2,65,2293,3,2,1,1,1,45,2025,1,1,1,6,6,180,6364,4,11,11,0,8,0,0,0,0,7,180,5544,3,101,3793,11,1,58,3364,2,1,1,7,7,371,19763,7,97,1565,4,4,35,339
-1,3,0,0,0,3,33,15,14,1,14,0,0,0,0,14,541,22203,2,43,965,8,3,119,5473,3,2,1,0,0,0,0,0,0,0,5,5,80,1722,2,11,11,0,5,0,0,0,0,5,162,6438,5,157,5461,8,0,0,0,2,2,0,9,9,384,16742,9,112,1912,5,5,70,1110
1,0,0,6,0,3,27,11,10,1,10,0,0,0,0,10,369,14557,2,38,730,2,3,103,3609,3,2,1,1,1,63,3969,1,4,16,5,5,84,2806,2,10,10,0,7,0,0,0,0,6,204,8308,3,96,3338,11,1,23,529,2,2,0,6,6,250,10690,6,48,462,4,4,34,598
